#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#point: NA
#colony: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	point	colony	FCS_File
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 20 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 20 uM.fcs	DRA-11182022_read16	33	20 uM	20	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 20 uM.fcs
3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 4 uM.fcs	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 4 uM.fcs	DRA-11182022_read16	34	4 uM	4	2	16	1	3Pat-11182022-Biosensors_DRA16_Experiment_yWL209_IAA 4 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0 uM.fcs	DRA-11192022_read8	35	0 uM	0	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0000102 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0000102 uM.fcs	DRA-11192022_read8	36	0.0000102 uM	1.02e-05	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0000102 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0000512 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0000512 uM.fcs	DRA-11192022_read8	37	0.0000512 uM	5.12e-05	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0000512 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.000256 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.000256 uM.fcs	DRA-11192022_read8	38	0.000256 uM	0.000256	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.000256 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.00128 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.00128 uM.fcs	DRA-11192022_read8	39	0.00128 uM	0.00128	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.00128 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0064 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0064 uM.fcs	DRA-11192022_read8	40	0.0064 uM	0.0064	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.0064 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.032 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.032 uM.fcs	DRA-11192022_read8	41	0.032 uM	0.032	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.032 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.16 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.16 uM.fcs	DRA-11192022_read8	42	0.16 uM	0.16	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.16 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.8 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.8 uM.fcs	DRA-11192022_read8	43	0.8 uM	0.8	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 0.8 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 100 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 100 uM.fcs	DRA-11192022_read8	44	100 uM	100	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 100 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 20 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 20 uM.fcs	DRA-11192022_read8	45	20 uM	20	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 20 uM.fcs
4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 4 uM.fcs	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 4 uM.fcs	DRA-11192022_read8	46	4 uM	4	3	8	1	4Pat-11192022-Biosensors_DRA08_Experiment_yWL209_IAA 4 uM.fcs
