#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#collection: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	collection	FCS_File
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.0064 uM.fcs	DRA03	26	0.0064 uM	3	0.0064	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.0064 uM.fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.032 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.032 uM.fcs	DRA03	27	0.032 uM	3	0.032	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.032 uM.fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.16 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.16 uM.fcs	DRA03	28	0.16 uM	3	0.16	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.16 uM.fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.8 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.8 uM.fcs	DRA03	29	0.8 uM	3	0.8	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_0.8 uM.fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_100 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_100 uM.fcs	DRA03	30	100 uM	3	100	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_100 uM.fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_20 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_20 uM.fcs	DRA03	31	20 uM	3	20	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_20 uM.fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_4 uM.fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_4 uM.fcs	DRA03	32	4 uM	3	4	end	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Exponential_4 uM.fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs	DRA03	33	0.16 uM (Inter 1)	3	0.16	intermediate 1	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_0.16 uM (120 mins).fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs	DRA03	34	0.16 uM (Inter 2)	3	0.16	intermediate 2	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_0.16 uM (60 mins).fcs
3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs	DRA03	35	100 uM (Inter 3)	3	100	intermediate 1	3Pat-08052022-Biosensor_LCMS_rep2-DRA03_DRA-LCMS-R2_Harvest during degradation_100 uM (120 mins).fcs
