#name: Name
#folder: NA
#X: NA
#strain: NA
#treatment: NA
#colony: NA
#design: NA
#yeast: NA
#design_yeast: NA
#FCS_File: NA
name	folder	X	strain	treatment	colony	design	yeast	design_yeast	FCS_File
203112022-Pat-TCA02_Time-course assay_Control_yWL210-C1.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL210-C1.fcs	TCA02	31	yWL210	Control	1	AFB2 cis	YPH499	AFB2 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Control_yWL210-C1.fcs
203112022-Pat-TCA02_Time-course assay_Control_yWL210-C2.fcs	203112022-Pat-TCA02_Time-course assay_Control_yWL210-C2.fcs	TCA02	32	yWL210	Control	2	AFB2 cis	YPH499	AFB2 cis_YPH499	203112022-Pat-TCA02_Time-course assay_Control_yWL210-C2.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL185-C1.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL185-C1.fcs	TCA03	33	yWL185	50 uM Auxin	1	TIR1 cis	W303	TIR1 cis_W303	303112022-Pat-TCA03_Time-course assay_Auxin_yWL185-C1.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL185-C2.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL185-C2.fcs	TCA03	34	yWL185	50 uM Auxin	2	TIR1 cis	W303	TIR1 cis_W303	303112022-Pat-TCA03_Time-course assay_Auxin_yWL185-C2.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL186-C1.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL186-C1.fcs	TCA03	35	yWL186	50 uM Auxin	1	AFB2 cis	W303	AFB2 cis_W303	303112022-Pat-TCA03_Time-course assay_Auxin_yWL186-C1.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL186-C2.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL186-C2.fcs	TCA03	36	yWL186	50 uM Auxin	2	AFB2 cis	W303	AFB2 cis_W303	303112022-Pat-TCA03_Time-course assay_Auxin_yWL186-C2.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL209-C1.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL209-C1.fcs	TCA03	37	yWL209	50 uM Auxin	1	TIR1 cis	YPH499	TIR1 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Auxin_yWL209-C1.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL209-C2.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL209-C2.fcs	TCA03	38	yWL209	50 uM Auxin	2	TIR1 cis	YPH499	TIR1 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Auxin_yWL209-C2.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL210-C1.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL210-C1.fcs	TCA03	39	yWL210	50 uM Auxin	1	AFB2 cis	YPH499	AFB2 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Auxin_yWL210-C1.fcs
303112022-Pat-TCA03_Time-course assay_Auxin_yWL210-C2.fcs	303112022-Pat-TCA03_Time-course assay_Auxin_yWL210-C2.fcs	TCA03	40	yWL210	50 uM Auxin	2	AFB2 cis	YPH499	AFB2 cis_YPH499	303112022-Pat-TCA03_Time-course assay_Auxin_yWL210-C2.fcs
