#name: Name
#folder: NA
#X: NA
#treatment: NA
#dose: NA
#replicate: NA
#date: NA
#FCS_File: NA
name	folder	X	treatment	dose	replicate	date	FCS_File
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs	DRA-01252023_read8	29	0.00128 uM	0.00128	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs	DRA-01252023_read8	30	0.0064 uM	0.0064	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs	DRA-01252023_read8	31	0.032 uM	0.032	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs	DRA-01252023_read8	32	0.16 uM	0.16	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.16 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs	DRA-01252023_read8	33	0.8 uM	0.8	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 0.8 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs	DRA-01252023_read8	34	100 uM	100	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 100 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs	DRA-01252023_read8	35	20 uM	20	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 20 uM.fcs
3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs	DRA-01252023_read8	36	4 uM	4	3	25-Jan-23	3Pat-01252023-Biosensors_DRA09_Experiment_yWL210_IAA 4 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs	DRA-01312023_read9	37	0 uM	0	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs	DRA-01312023_read9	38	0.0000102 uM	1.02e-05	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000102 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs	DRA-01312023_read9	39	0.0000512 uM	5.12e-05	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0000512 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs	DRA-01312023_read9	40	0.000256 uM	0.000256	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.000256 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs	DRA-01312023_read9	41	0.00128 uM	0.00128	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.00128 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs	DRA-01312023_read9	42	0.0064 uM	0.0064	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.0064 uM.fcs
4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs	DRA-01312023_read9	43	0.032 uM	0.032	4	31-Jan-23	4Pat-01312023-Biosensors_DRA09_Experiment_yWL210_IAA 0.032 uM.fcs
