#name: Name
#folder: NA
#X: NA
#treatment: NA
#reading: NA
#dose: NA
#set: NA
#sample_set: NA
#colony: NA
#FCS_File: NA
name	folder	X	treatment	reading	dose	set	sample_set	colony	FCS_File
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs	S-DRA02	25	0 uM	2	0	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs	S-DRA02	26	0.0000953 uM	2	9.53e-05	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.0000953 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs	S-DRA02	27	0.000381 uM	2	0.000381	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.000381 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs	S-DRA02	28	0.001525 uM	2	0.001525	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.001525 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs	S-DRA02	29	0.0061 uM	2	0.0061	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.00610 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs	S-DRA02	30	0.02441 uM	2	0.02441	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.02441 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs	S-DRA02	31	0.09765 uM	2	0.09765	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.09765 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs	S-DRA02	32	0.3906 uM	2	0.3906	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 0.3906 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs	S-DRA02	33	1.5625 uM	2	1.5625	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 1.5625 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs	S-DRA02	34	100 uM	2	100	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 100 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs	S-DRA02	35	25 uM	2	25	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 25 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs	S-DRA02	36	6.25 uM	2	6.25	3	2_1	1	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 1_IAA 6.25 uM.fcs
2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs	S-DRA02	37	0 uM	2	0	4	2_2	2	2Pat-09282022-Biosensor_Stationary-DRA02_Experiment_biosensor_stationary_colony 2_IAA 0 uM.fcs
